Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XLOC_007253,0.2458149682196403,0.8408344177417231,0.8905487523189879,0.944175617058798,0.34507991303454705,0.4748847581922294
XLOC_007254,0.5402091174690603,-0.05136482938068364,0.8194987484786956,-0.062678349998748,0.95002263768714,0.9717691386827224
XLOC_007255,0.2886218239033294,-1.13372642762776,0.7170310397979254,-1.5811399572705644,0.11384604033461405,0.186825757636691
XLOC_007256,0.11986840614211182,-0.11196313041974011,1.0879697156515558,-0.10291015348041044,0.9180342791773739,0.9529344657153187
XLOC_007257,5.160498515142601,0.1695326481948887,0.2292964350698717,0.7393601568346596,0.45968832935032816,0.5968937207754103
XLOC_007258,17.456591023867173,0.798916721702864,0.11267345485019689,7.090549613172422,1.3358041615454505e-12,9.797489495652441e-12
XLOC_007259,6.065266213572328,-0.45102803574737843,0.1652788520982735,-2.7288913858090007,0.006354763057845919,0.014276174009611977
XLOC_007260,31.973283352169815,-0.03567184121045533,0.11233500316323572,-0.3175487622377152,0.7508272455371886,0.8576483968692478
XLOC_007261,0.12359578274701429,-0.03821038842133768,1.2970445435354818,-0.029459580715080043,0.9764980548555682,0.9860483429108824
XLOC_007262,97.23699735810287,-1.7269383798778732,0.19463676447337008,-8.872621698939875,7.144370209459864e-19,9.085915236506426e-18
XLOC_007263,15.701207180894993,0.3850032570668645,0.14362927114662272,2.6805347823135386,0.007350462509159535,0.016282258440846582
XLOC_007264,221.81075462831484,0.8395244935393776,0.060751327588426135,13.81903123544772,1.956855967516671e-43,1.3542523767835464e-41
XLOC_007265,7.216736521394844,1.3085314442430505,0.2501826549328666,5.230304413366221,1.692311379021995e-7,7.455733411584811e-7
XLOC_007266,17.887106130739582,0.10209746004161491,0.5145455893081977,0.19842257355443293,0.8427144574084503,0.9226155632391296
XLOC_007267,39.755542765560264,2.862644464523073,0.1715792612436589,16.684093658952435,1.7108276111015816e-62,3.821582349907206e-60
XLOC_007268,406.54325689480254,0.8859786095659864,0.20691886997771097,4.281768065239399,1.854141848649207e-5,6.289474401950797e-5
XLOC_007269,141.32033944013443,1.7249607022440545,0.12069288765801751,14.292148739797485,2.4493378114399158e-46,1.994928171981803e-44
XLOC_007270,225.46566411407727,0.11776617890817619,0.12027766983753546,0.9791192252664052,0.3275210734163707,0.4546362479140306
XLOC_007271,6.1058118706752165,1.3040589787252594,0.35528967456661503,3.6704105750215237,2.421611806381585e-4,6.941174433207336e-4
XLOC_007272,4013.1739343878526,0.32999996781560387,0.08614705084905472,3.830658908960491,1.2780056505827677e-4,3.824523873563844e-4
XLOC_007273,718.7928322802917,-0.18890097370191772,0.08859419990974529,-2.132204748102689,0.03299001831095497,0.06287276593288184
XLOC_007274,0.2551792897147414,0.8952304466854266,0.853059070332683,1.0494354703201236,0.2939777402608845,0.4161134197895612
